RyanHhttp://char.iis.sinica.edu.tw/,big5,scipt_en,script_ch,file
小,a470,jinwen,金文,acs/a470/a470-jinwen_019.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_020.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_021.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_022.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_023.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_024.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_025.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_026.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_027.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_028.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_029.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_030.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_031.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_032.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_033.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_034.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_035.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_036.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_037.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_038.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_039.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_040.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_041.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_042.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_043.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_044.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_045.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_046.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_047.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_048.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_049.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_050.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_051.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_052.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_053.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_054.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_055.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_056.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_057.gif
小,a470,jinwen,金文,acs/a470/a470-jinwen_058.gif
